SecurityId,AssetName,ExchangeType,SchemaName
BBL,BHARAT BIJLEE LTD.-$,BSE,ExchangeList
ELPROINTL,ELPRO INTERNATIONAL LTD.,BSE,ExchangeList
GEE,GEE LTD.,BSE,ExchangeList
HIRECT,HIND RECTIFIERS LTD.,BSE,ExchangeList
NIPPOBATRY,INDO-NATIONAL LTD.,BSE,ExchangeList
ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,BSE,ExchangeList
JYOTI,JYOTI LTD.-$,BSE,ExchangeList
JSLINDL,JSL INDUSTRIES LTD.,BSE,ExchangeList
KAYCEEI,KAYCEE INDUSTRIES LTD.,BSE,ExchangeList
INDOKEM,INDOKEM LTD.,BSE,ExchangeList
PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$,BSE,ExchangeList
NELCO,NELCO LTD.,BSE,ExchangeList
PERMAGN,PERMANENT MAGNETS LTD.-$,BSE,ExchangeList
HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.,BSE,ExchangeList
STDBAT,STANDARD BATTERIES LTD.,BSE,ExchangeList
UNIVCABLES,UNIVERSAL CABLES LTD.,BSE,ExchangeList
WSI,W.S.INDUSTRIES (INDIA) LTD.-$,BSE,ExchangeList
DLTNCBL,DELTON CABLES LTD.,BSE,ExchangeList
LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,BSE,ExchangeList
MODULEX,Modulex Construction Technologies Ltd,BSE,ExchangeList
DELTAMAGNT,Delta Manufacturing Ltd,BSE,ExchangeList
CONFINT,Confidence Finance And Trading Limited,BSE,ExchangeList
RELTD,Ravindra Energy Ltd,BSE,ExchangeList
GDTRAGN,G.D.TRADING & AGENCIES LTD.,BSE,ExchangeList
EMPOWER,EMPOWER INDIA LTD.,BSE,ExchangeList
ZMULTIPU,MULTIPURPOSE TRADING & AGENCIES LTD.,BSE,ExchangeList
RIDHISYN,RIDHI SYNTHETICS LTD.,BSE,ExchangeList
